Channel,sessionId,lineText,lineBy,lineNum,L2,L3,issueLine
Argos,INT-va1appin07-1437392698024-34600,I am hoping to buy 2 x wardrobes (259/1689) and have a discount code FURN15 to get a further 15% off. Please can you confirm if this is a valid discount code and where I type it in. Thank you.,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin10-1437392739140-34603,"is your argos card available to people receiving working tax credit for self employment? Also, can you start paying sooner than a year to reduce the interest?",2,1,,Product Comparison,
Argos,INT-va1appin07-1437393003890-34619,just want to know i am working sainsburys we got 9% our colleague extra discount on arogs,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin09-1437393167762-34625,"Hello Scarlett, i was just looking for quite a big wardrobe, a white one if possible. I need big closet space",2,1,,Size-Shape,
Argos,INT-va1appin06-1437393203769-34632,I am looking at buying the Hygena Sheridan Double Ottaman bed fram 340/4232. But the sizes seem confusing. Can you confirm the measurements,2,1,,Size-Shape,
Argos,INT-va1appin07-1437393397909-34638,I was just looking to see how much it was as it's going cheap at homebase and wanted to see which one was the cheapest ?,2,1,,Price Match,
Argos,INT-va1appin05-1437393457457-34640,"hi. last night I tried to buy the black shorty bunks with matress on the 24 mth term after I completed the details it said there was a technical error and to try later, this happened twice, is there a problem with the website?",2,1,,System Issue,
Argos,INT-va1appin05-1437393614077-34648,Hi whats the difference between these hovers:,2,1,,Product Comparison,
Argos,INT-va1appin05-1437393614307-34649,Is the Canon sx410 camera 720p or 1080p HD Video Recording ? ( the Canon site says 720p ! ) ( and Argos says 1080p ).,2,1,,Product Comparison,
Argos,INT-va1appin08-1437393735929-34660,Hi Im looking to buy can I do this over the phone or in store please?,2,1,,Order_Assistance,
Argos,INT-va1appin07-1437393763489-34660,"Hi Lorene, yes I have. I love the chairs. Because there is no reviews and I cant see the product in store before I order. With furniture is the returns policy still the same? Just wondering if I were to order and build one of the chairs if I didn't like the finish could I send them back?",2,1,,Return Policy,
Argos,INT-va1appin07-1437394655760-34717,"Hi, in general information it states that the product needs 'minimal assembly' can you explain what that means please?",2,1,,Size-Shape,
Argos,INT-va1appin09-1437394884193-34730,"had difficulty ordering online over the last few days, is this problem resolved or still on going?",2,1,,Order_Assistance,
Argos,INT-va1appin08-1437394972080-34741,Will this fit into the back of a 5door hatchback car?,2,1,,Size-Shape,
Argos,INT-va1appin09-1437395510345-34778,i cant find the dimentions?,2,1,,Size-Shape,
Argos,INT-va1appin06-1437395840692-34810,first time doing a big shopping with argos i need to know some of the policies,2,1,,Return Policy,
Argos,INT-va1appin06-1437396182093-34841,hi there can you check me for this product code  whats the return policy,2,1,,Return Policy,
Argos,INT-va1appin08-1437396305146-34852,"hi can you help do you stock tall fridges that are up to 53"" wide please",2,1,,Size-Shape,
Argos,INT-va1appin09-1437396311399-34848,The price mentioned on our website is correct.,2,1,,Price _Enquiry,
Argos,INT-va1appin08-1437396736880-34886,"why wont you accept my order, you have all my details",2,1,,Order_Assistance,
Argos,INT-va1appin05-1437396743609-34884,in the past you did a spend &pound;x and get an argos voucher is that still running,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin07-1437398241384-35023,"i want to have two items delivered. the first slot, i cannot book, every other slot creates a database error",2,1,,Checkout Issue,
Argos,INT-va1appin06-1437398342596-35036,Can you please confirm width of this cupboard as it says 150cm which is same as the larger 2 door cupboard,2,1,,Size-Shape,
Argos,INT-va1appin07-1437398423408-35043,I JUST WANTED TO UNDERSTAND THE SIZE BETTER. MY OVEN SPACE IS H:60CM W:58.5 BUT MOST OF THE AFFORDABLE OVENS ARE H :59.5 AND W: 59.5,2,1,,Size-Shape,
Argos,INT-va1appin09-1437398655714-35059,"their was a single mattress for 63.99 last week have u still got it , it was in the sale i`ve miss placed the number for it",2,1,,Price _Enquiry,
Argos,INT-va1appin05-1437399278046-35127,I am looking to buy a matters but if I don't like it can it be returned,2,1,,Return Policy,
Argos,INT-va1appin08-1437399295804-35130,"i want to order dual power max carpet cleaner it is telling me it is out of stock at fulham ,",2,1,,Order_Assistance,
Argos,INT-va1appin10-1437399619589-35165,hi I have a discount code can I use it instore,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin09-1437400131892-35221,I am fed up trying to remove some items from my basket,2,1,,Checkout Issue,
Argos,INT-va1appin10-1437400166200-35225,"Hello, do u offer beds that come with mattresses?",2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin09-1437400796837-35296,"Hi, I was looking on ebay and clicked on the link for a Keter plastic store it out garden storage, the price came up at &pound;99.00, when I clicked on it the price came up as &pound;149.99",2,1,,Price _Enquiry,
Argos,INT-va1appin06-1437400869574-35308,will the sicily 4 seater patio set fit in a Hyundai i20 car?,2,1,,Size-Shape,
Argos,INT-va1appin09-1437400907654-35309,this item was &pound;119 on Saturday can I buy at that price,2,1,,Price _Enquiry,
Argos,INT-va1appin09-1437400951538-35313,im looking for a treadmill,2,1,,Product Comparison,
Argos,INT-va1appin06-1437402001492-35432,I am looking for a lightweight sportive road bike 8 to 9 kilos in weight 56cm frame size what do you have?,2,1,,Size-Shape,
Argos,INT-va1appin10-1437402037562-35434,Does the price quoted on bold include the delivery?,2,1,,Price _Enquiry,
Argos,INT-va1appin08-1437402456745-35480,How much is this cleaner(with the special offer)/,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin10-1437402602009-35491,i need sme help on finding the right chair like this one but in different colour,2,1,,Color,
Argos,INT-va1appin06-1437402934218-35532,is the 10ft sportspower trampoline outside width or inside netting width?,2,1,,Size-Shape,
Argos,INT-va1appin08-1437403299603-35579,hi after a narrow tumble dryer what have you got,2,1,,Size-Shape,
Argos,INT-va1appin06-1437403841409-35643,I reserved a vax ultra + carpet cleaner for pick up from Hailsham. I now know I may not pick up until Wednesday. Will hailsham keep it till then?,2,1,,Order_Assistance,
Argos,INT-va1appin06-1437403887690-35648,Hi Cant select delivery date all dates are blank,2,1,,Order_Assistance,
Argos,INT-va1appin05-1437403933688-35648,i have also looked at G Tech how would you compare the 2.,2,1,,Product Comparison,
Argos,INT-va1appin08-1437404425883-35715,"yes, i am trying to see if the stock is available to collect from my local store (Rustington Argos in Sainsburys) but the stock check is not working",2,1,,System Issue,
Argos,INT-va1appin09-1437404577592-35727,I need a washing machine up to 12kg drum do you have one that big please,2,1,,Size-Shape,
Argos,INT-va1appin08-1437404695993-35745,"Yes Lorene, I have reserved the above and have not been able to use the code FURN15 at any time, does this mean it is not available on this item?",2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin06-1437404880272-35765,Hello I need fridge but I am using measuring tape,2,1,,Size-Shape,
Argos,INT-va1appin05-1437405003974-35778,Yes was wondering how deep it is unboxed,2,1,,Size-Shape,
Argos,INT-va1appin10-1437405667222-35860,wanted to buy a mattress but the est delivery says 'within 28 days' thats a whole month - is there anyway you can give me a better idea on delivery,2,1,,Product Comparison,
Argos,INT-va1appin07-1437405755009-35871,"hi,Daniel,i would like to buy on 6monthesthe morphy richards supervac,i have a code to enter floor 10 but cant find where to enter it thank you",2,1,,Order_Assistance,
Argos,INT-va1appin10-1437406768708-35998,Is your sale still on in the Derby store please?,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin09-1437406979204-36028,"yes please, one of your colleague sent me a link for a fridge/ freezer and when i click on it to buy it, i have been asked my postcode",2,1,,Order_Assistance,
Argos,INT-va1appin09-1437406986340-36030,What is the power or suction difference between the DC44 and the V6 range from Dyson? Thanks.,2,1,,Product Comparison,
Argos,INT-va1appin07-1437407506723-36093,"Hi, I've found this product cheaper. can you match the price?",2,1,,Price Match,
Argos,INT-va1appin08-1437407729033-36121,"just trying to settle on a bed for my son. single bed needed with drawers, preferably white wood",2,1,,Size-Shape,
Argos,INT-va1appin07-1437407835343-36135,What is the size of this A eroded Air am buying is?,2,1,,Size-Shape,
Argos,INT-va1appin10-1437407942637-36144,Are the prices shown inclusive of the 15% off discount code or does this get applied at checkout please?,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin05-1437408135061-36170,You have 2 of these machines listed. Seem identical but 1 is &pound;169 the other &pound;180 ??,2,1,,Product Comparison,
Argos,INT-va1appin07-1437408404227-36204,"Hello, my name's Ken, I'm looking for a sofa that sits at least 4 that could fit in a space with the measurements of about 200cm x 120cm ?? Would that be something you could help me with?",2,1,,Size-Shape,
Argos,INT-va1appin06-1437408834961-36261,"Sorry let me try that again. I want to order the 10 ft trampoline with the special offer, accessories however the accessories is not in stock for delivery how can I get the trampoline delivered and collect the accessories from shop",2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin08-1437408975214-36276,"yes,. I was trying to find further information on this, on the Silentnight website and can't find it on their.",2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin10-1437409078438-36286,I was ready to order both drawers &amp; wardrobe last week. Now it will cost me a whole lot more if o desire to order this week,2,1,,Price _Enquiry,
Argos,INT-va1appin09-1437409508003-36339,Just wondered as I'm not ale to view or try this sofa unless its on display in any of your stores?? is it returnable if it wasn't liked or found comfy?,2,1,,Return Policy,
Argos,INT-va1appin05-1437409862651-36385,Correct price please advertised on tv at &pound;179,2,1,,Price _Enquiry,
Argos,INT-va1appin05-1437410030656-36410,"trying to order white knight tumble drier it says its ok for delivery but is showing out of stock when i go to pay can you check all stocks for me i live in the dh9 area,",2,1,,Order_Assistance,
Argos,INT-va1appin09-1437410684372-36495,May I get extended warranty on this product,2,1,,Manufacturer Information,
Argos,INT-va1appin08-1437411016284-36538,Hello. Is it possible to arrange delivery for a specific day?,2,1,,Order_Assistance,
Argos,INT-va1appin06-1437411249481-36566,hi i want to order a bed on my argos card but i changed my address what do i do,2,1,,Order_Assistance,
Argos,INT-va1appin05-1437411404946-36583,i am ordering a fridge from your site and when i click on free delivery code it is not giving me one but says free dellivery in July in argos offers,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin07-1437411792159-36627,Can you recommend a black microwave under&pound;50,2,1,,Color,
Argos,INT-va1appin07-1437412432004-36704,Yes hombase was on offer for 2 beds 2 mattress &pound;527 including delivery can u honour that,2,1,,Price Match,
Argos,INT-va1appin07-1437412671251-36732,i noticed last week you had silent night harding single beds for &pound;259.99 ref 279/3391 they seem to have jumped to more than &pound;600,2,1,,Price _Enquiry,
Argos,INT-va1appin06-1437412793082-36749,how do you apply to pay monthly,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin05-1437412912495-36760,"yes, i have a bed that is bigger than a double and smaller than a king size .I wondered if you have any memory foam mattresses that would fit.",2,1,,Size-Shape,
Argos,INT-va1appin05-1437413073243-36780,i am considering buying vacuum cleaner vax impact. I have a argos voucher for &pound;50 so how wouyld i pay the extra please?,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin10-1437413308855-36809,"I had to save the money to purchase this item and its now doubled in price, ;( will it go back down again any time soon???",2,1,,Price _Enquiry,
Argos,INT-va1appin10-1437413487927-36831,"hi, what is the real size of the slate",2,1,,Size-Shape,
Argos,INT-va1appin10-1437413672393-36856,I looked at the beds a while ago I found a pine double bed frame with a free materess but can not find it now can you help,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin09-1437413900657-36892,Is there a way to find out dimensions of the storage boxes (like blue ones on the picture),2,1,,Size-Shape,
Argos,INT-va1appin07-1437413933455-36899,why won't it let me reserve and pay when I get in store,2,1,,Checkout Issue,
Argos,INT-va1appin07-1437414206073-36934,please ring me Michael 01423 871987 re an order,2,1,,Order_Assistance,
Argos,INT-va1appin07-1437415118959-37055,What is the slide door exactly pls and when does 15 % OFF END,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin09-1437415461426-37099,On my phone it says free delivery but on my iPad it's &pound;8.95,2,1,,Price _Enquiry,
Argos,INT-va1appin05-1437415486114-37103,Just comparing the three Bosch silver dishwashers. What does Ins/Del/Rec mean please?,2,1,,Product Comparison,
Argos,INT-va1appin07-1437415503643-37106,my payment has some to &pound;433.97 so 15% of that will be deducted with promotion code?,2,1,,Rewards,
Argos,INT-va1appin06-1437415684966-37133,how long is the Dyson DC44 Origin going to be priced at &pound;199.99,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin05-1437415716872-37136,Can you tell me what the website is to get staff discount when ordering home del items please,2,1,,Order_Assistance,
Argos,INT-va1appin08-1437416194115-37213,"yes, the price on your eBay page says &pound;95.98 but when the link takes you to the catalog page it's &pound;124.99?",2,1,,Price _Enquiry,
Argos,INT-va1appin10-1437416676090-37282,"I wanted to buy the Richmond 2 Door 2 Drawer Wardrobe - Antique Pine, but last week when I saw it it was &pound;130 approx. and it is &pound;340",2,1,,Price _Enquiry,
Argos,INT-va1appin07-1437416745527-37297,im looking for a duck egg coloured center rug,2,1,,Color,
Argos,INT-va1appin08-1437416996215-37338,Hi - what happened to the &pound;199.99 offer?,2,1,,Price _Enquiry,
Argos,INT-va1appin07-1437417042849-37342,Yes I have resvered it at the wrong store   What can I do,2,1,,Order_Assistance,
Argos,INT-va1appin08-1437417362941-37386,"Hi, I've been waiting for this item to come back into stock. It is back in stock but at full price. I only wanted it at 50% off, which it has been for",2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin08-1437417909937-37468,How long is the manufacturer's guarantee?,2,1,,Manufacturer Information,
Argos,INT-va1appin10-1437418124533-37494,a chair costing 250 with the code 15% off how much will that be,2,1,,Rewards,
Argos,INT-va1appin07-1437418816865-37584,"hi, I'm ready to proceed with this purchase but it won't fit through the door. Will the delivery men take and replace the doors?",2,1,,Size-Shape,
Argos,INT-va1appin05-1437418899105-37595,"Hi, I'm looking at buying multiple items today, one being a washing machine, the total is going to be around &pound;350 are all these items going to be included in the buy now pay nothing for 12 months plan ?",2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin10-1437419279951-37649,"Hi, I just made an order for product 248/5135 which says free delivery but have been charged for delivery at &pound;8.95",2,1,,Price _Enquiry,
Argos,INT-va1appin06-1437419808521-37723,imfrom n ireland and was wondering can i collect 737/5848 from anywhere here,2,1,,Size-Shape,
Argos,INT-va1appin05-1437420128818-37763,"yes please, I have reserved a cordless vaccum and wanted to use the promo code FLOOR10 but did see where to use this whilst reseving. Have I missed on on the promotion?",2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin06-1437420197623-37775,"looking for Single Fan Oven- White. importent for me is Size H59.5, W54.5, D55cm this is for replacment Mofat MSF",2,1,,Material,
Argos,INT-va1appin07-1437420359277-37798,i need a red sofabedwith metal,2,1,,Color,
Argos,INT-va1appin07-1437420781490-37859,trying to order a silbury double bed frame but cannot get past the trolley section to place order as the dinosaur page keeps coming up as there being a problem,2,1,,Order_Assistance,
Argos,INT-va1appin10-1437421257495-37919,I was also looking at the 10 ft one I have a voucher that I can get &pound;10 discount but only on purchases over &pound; 100 10ft is &pound;99.99 can you advise if I can buy a carrier bag for 5 p to put me over the 100 pound please advise thank you colin,2,1,,Rewards,
Argos,INT-va1appin09-1437421362821-37929,what is the difference between an dyson cordless absolute and a dyson cordless animal?,2,1,,Product Comparison,
Argos,INT-va1appin05-1437421364709-37933,"This afternoon when I was looking at bedroom furniture there was an online discount code, it has now not showing on website?",2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin05-1437421659618-37973,hello i want to buy the ohio door low sideboard later this evening theres a 15% off voucher on it,2,1,,Rewards,
Argos,INT-va1appin07-1437421803287-37998,"Hello, i am trying to purchase a hoover washing machine on the buy now pay later scheme i have verified and been accepted for an argos card but when i am trying to place the order i am just going round in circles",2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin07-1437421903266-38012,First grandchild born today annoyed was going to purchasHarrow Set but I see it had gone back up to 799.99. Why???,2,1,,Price _Enquiry,
Argos,INT-va1appin08-1437421977967-38023,I want to purchase this vacuum but seems its out of stock everywhere in Bristol,2,1,,Rewards,
Argos,INT-va1appin09-1437422048033-38030,i want to order some dumb bells to pick up from Stevenage but don't want to pick up until friday when i am paid,2,1,,Order_Assistance,
Argos,INT-va1appin05-1437422127474-38041,hi I am looking at your Argos value range ASFF48145 Tall Fridge Freezer,2,1,,Manufacturer Information,
Argos,INT-va1appin06-1437422152784-38048,No it is too basic sorry,2,1,,Size-Shape,
Argos,INT-va1appin06-1437422453564-38089,Is there a sale on the sofa packages?,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin06-1437422458278-38093,can you give me a discout,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin08-1437422541671-38102,in the book it gives u a price for bed and mattress but on line it's more expensive can u tell me why this is please,2,1,,Price _Enquiry,
Argos,INT-va1appin06-1437422659789-38118,This dining set was &pound;389 last few days ago,2,1,,Price _Enquiry,
Argos,INT-va1appin06-1437422666379-38119,Hi. I saw a ceramic hob I'd like to buy. Is it possible to get an extended warranty with this?,2,1,,Manufacturer Information,
Argos,INT-va1appin10-1437423560009-38232,Hi I have a discount code FURN20 but it isn't working please could you help me and tell me why it isn't working,2,1,,Rewards,
Argos,INT-va1appin09-1437423636199-38242,Can we pick a delivery day and time slot?,2,1,,Order_Assistance,
Argos,INT-va1appin07-1437424017180-38298,I am looking for the hand held dc44advertised on the tv for one hundred and seventy nine pounds,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin08-1437424151304-38315,When does the indoor furniture deals finishing?,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin06-1437424784513-38398,Can u tell me when the wardrobe will be back in stock ? Torquay,2,1,,Manufacturer Information,
Argos,INT-va1appin07-1437425500785-38483,hi i work for argos just wondering if i can use my discount ontop of the tech10 disocunt code,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin10-1437425613480-38497,"Hi, I'm trying to find the dimentions",2,1,,Size-Shape,
Argos,INT-va1appin09-1437425883310-38526,looking for dual fuel with fan in oven width 50 with ceramic hobs and timer if pssible and A rating,2,1,,Size-Shape,
Argos,INT-va1appin07-1437425889253-38529,this very evening it was advertised on TV as only &pound;149!!! I particularly paid attention because I just bought one for &pound;300 and thought I would bring it back and buy one from you. It definately said ARGOS,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin10-1437425890450-38527,Does this sofa has two recliner sits or just one?,2,1,,Size-Shape,
Argos,INT-va1appin05-1437426165155-38561,Tried to ring at 19.40 to buy a cooker on my Argos card at 20. 00 message then said sorry the office is now closed so in the phone 20 min trying to get through only to be disconecte,2,1,,Order_Assistance,
Argos,INT-va1appin05-1437426622613-38609,What is the minimum focal length of the camera,2,1,,Size-Shape,
Argos,INT-va1appin08-1437426631099-38613,"Hi. I,ve just seen a TV advert for a Dyson DC 44 for &pound;179.00, but cant find it on here. Can you help please",2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin06-1437427061304-38662,what is 15% off &pound;128.99 for a tub chair please.,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin06-1437428241125-38786,hi wwhere can i find the promotional code,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin08-1437429338610-38902,lookling for a value freezer over 90 cm,2,1,,Size-Shape,
Argos,INT-va1appin10-1437429774488-38945,I am looking for a deal with a mattress,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin06-1437430286005-39001,i am not sure which under counter fridge to buy?,2,1,,Return Policy,
Argos,INT-va1appin10-1437430886654-39063,hi can I use the code HOME15 against the cylinder dyson to get a discount of 15%,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin08-1437430986834-39077,Its says 499 here but weeks ago was 311,2,1,,Price _Enquiry,
Argos,INT-va1appin10-1437431127743-39088,IS THE 15% OFF OFFER FURN15 VALID FOR ORDERING INSTORE?,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin06-1437432412318-39208,Hi. Can you confirm the exact length measurements of the sofa,2,1,,Size-Shape,
Argos,INT-va1appin09-1437979393500-76132,Hi I have just ordered the sportspower 12ft trampoline and enclosure with ladder and bag and wondered if you could tell me the dimensions of the boxes that it will be delivered in? Thank you.,2,1,,Size-Shape,
Argos,INT-va1appin09-1437980117564-76168,Hi i'm interested in buying a dressing table but he description doesn't state what color is it possible for you to tell me if its White or Ivory?,2,1,,Color,
Argos,INT-va1appin10-1437980323869-76173,Hi do you have the measurements for the drawers please,2,1,,Size-Shape,
Argos,INT-va1appin10-1437980622559-76186,"Why is there 2 f/f with the same code online but 2 diff prizes, 159.99 &amp; 179.99",2,1,,Price _Enquiry,
Argos,INT-va1appin08-1437981674852-76250,"Good morning, I was about to order the washing machine but I once again checked the dimensions. On other websites it said the depth 54cm, but on Argos it is 60.5cm. I looked at the same make and model. Can you please double check for me?",2,1,,Size-Shape,
Argos,INT-va1appin08-1437981698047-76251,Can you please advise how long the discount code white10 will be valid for?,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin10-1437982270685-76274,I'm trying to check out for home delivery but unable to,2,1,,Checkout Issue,
Argos,INT-va1appin07-1437982405505-76285,could you please advise when this offer is about to end? I only get the keys to our house in approximately 2 weeks but until I am given a confirmed date I can't order,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin07-1437982788026-76305,Was saying that I'm trying to check out but keeps saying zero size subject and I've refreshed and logged in and out,2,1,,Checkout Issue,
Argos,INT-va1appin07-1437983128735-76319,Does the 15% off home things only apply on delivery items?,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin05-1437983196554-76322,No just having look at the offers.,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin07-1437983216818-76325,I have picked one that is free delivery and recycle but when I put it in my basket it charges for the delivery,2,1,,Order_Assistance,
Argos,INT-va1appin06-1437983309158-76330,"Hi Chris, can you tell me if the measurements are in centimeters please?",2,1,,Size-Shape,
Argos,INT-va1appin08-1437983516066-76338,"Good morning . we are looking at a littlte chest freezer, but the question is we &pound;100 of vouchers to use can I do it online or pop to the local Argos??",2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin10-1437983624816-76338,is this reebok zr8 good for 5 ft person,2,1,,Size-Shape,
Argos,INT-va1appin05-1437984072706-76365,"Hi Bill, I have ordered a Bush washing machine and got to the delivery day but when I wish to select a date and time, nothing happens on the grid?",2,1,,Checkout Issue,
Argos,INT-va1appin08-1437985637890-76442,I had a garden sofa in my basket Barcelona rattan sofa in brown &pound;489? Glass table can't find it now ??,2,1,,Order_Assistance,
Argos,INT-va1appin07-1437986769893-76489,will i get 10% off on canon 700d?,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin05-1437986660209-76484,hi can you please tell me when your sale will end,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin09-1437986775294-76490,yes please could you tell me the length of Airsprung New Elliott Anti Allergy Small Single Mattress. 417/7180,2,1,,Size-Shape,
Argos,INT-va1appin08-1437987389677-76520,I want to order this item please,2,1,,Order_Assistance,
Argos,INT-va1appin07-1437987744475-76536,can u use it for ten year olds,2,1,,Size-Shape,
Argos,INT-va1appin08-1437987747124-76537,"I'm trying to order it but once I have put my postcode in it says it can't do it, try later",2,1,,Checkout Issue,
Argos,INT-va1appin10-1437988006958-76543,"Hi Chris, I am trying to book and reserve for collection a table and chair set. At no point has the system asked for a discount promotion code? How do I enter this",2,1,,Rewards,
Argos,INT-va1appin09-1437988282421-76562,"hi im sarah I,m trying to place an order ...I cant seem to change the delivery address...also I,m in the process of moving house so would also like to change my address please",2,1,,Checkout Issue,
