XTest,sessionId,y__true,y_pred,y_prob_max
how can i speed up my internet,ID1223474020,Speed Issue,Speed Issue,0.866654067441
the dvr is full after cable box frooze,ID1229280261,Dvr Issue,Dvr Issue,0.641657340917
internet speed is slow,ID1222075460,Speed Issue,Speed Issue,0.980908993761
the internet was installed on tuesday and it has not been working properly,ID1222252490,Internet Not Working,Internet Not Working,0.680994373146
internet is extremely slow,ID1228388708,Speed Issue,Speed Issue,0.920795254023
how do you find the password,ID1219353077,Login Issue,Login Issue,0.524277770456
why does my username and passwod no longer exist  im trying to upgrade my cable modem to the new one time warner recently sent and have an active triple play account,ID1227691479,Change Package,Modem Setup,0.50840112728
trouble down loading,ID1235854456,Speed Issue,Login Issue,0.621757288521
hbo channels,ID1224304289,Channel Issue,Channel Issue,0.506501373506
my fox  nbc channels keep getting scrambled,ID1219960792,Channel Issue,Channel Issue,0.626131856643
my internet speeds have dropped to negligible speeds,ID1232195518,Speed Issue,Speed Issue,0.759309725588
does my ubee modem have built in wireless  if so how do i set it up,ID1235207353,Purchase Modem,Modem Setup,0.63974366932
my wifi password is not working on cell phone,ID1232565289,Home Wifi,Phone Not Working,0.56303140415
our speed is really slow i have compalined before we just got a brand new lap top and half the time it does not connect and says the internet has limited access if we move the laptop right by the router it works great but other deivces on the wifi have no trouble conncecting is there a more powerful router available it is located in the center of our house,ID1233194795,Speed Issue,Speed Issue,0.508358864306
intermitten internet,ID1220133406,Internet Not Working,Internet Not Working,0.638236670784
i can not sign into my account,ID1224596934,Login Issue,Login Issue,0.720094624594
internet does not work,ID1228670347,Internet Not Working,Internet Not Working,0.791413715416
how do i set up my voicemail,ID1235190027,Voice Mail,Voice Mail,0.642059810404
my internet keeps going on and off and i am not getting the full speed i should be getting,ID1233149034,Speed Issue,Speed Issue,0.822497043277
i have received a letter and an email stating that my internet speed has been increased fro 50 mbps ti 100mbps yet my speed test still shows 50,ID1219134256,Speed Issue,Speed Issue,0.835262890938
speed is unusually slow,ID1219230782,Speed Issue,Speed Issue,0.923444586432
my online account log in id is disabled please enable it and reset my password,ID1225228469,Login Issue,Login Issue,0.704480369204
im suppose to be getting 30 mbps but im only getting 136 mbps why,ID1224315414,Speed Issue,Speed Issue,0.549923057327
my dvr deleted all of the set recordings,ID1231305833,Dvr Issue,Dvr Issue,0.707364494051
internet seems slow and lagging ,ID1229106853,Speed Issue,Speed Issue,0.847353314878
im looking to buy my own internet modem,ID1230335491,Purchase Modem,Purchase Modem,0.586917049983
cannot connect with phone to wifi,ID1227747216,Home Wifi,Home Wifi,0.543804560047
how to forward emails from a txrrcom account,ID1224115514,Email Issue,Email Issue,0.48121092269
my modems have not been able to connect to the internet since yesterday  i tried restarting the modem several times yesterday and today in the morning  also i am not in my home at the moment so i cant really do anytng with the actual equipment and i would not have been able to contact you anyway since my phone modem is also down,ID1226757022,Internet Not Working,Internet Not Working,0.505542172934
i am not able to view channel 20  i tnk ts is included in my package so why cant i get it,ID1222724037,Channel Issue,Channel Issue,0.499382446988
i am unable to pull up my dvr recordings  i do not see a button on the remote for my recordings,ID1221247842,Dvr Issue,Dvr Issue,0.420472678105
i purchased a modem that does not have emta how can i get emta ,ID1236146284,Purchase Modem,Modem Setup,0.419210264191
how to authorize a dvr box for service,ID1223811708,Dvr Issue,Dvr Issue,0.759094727164
i received a new modem and cant figure out how to install it  twc said that t could send a technician to install if i had a problem,ID1224230118,Modem Setup,Modem Setup,0.532563334903
wifi not active,ID1236491131,Home Wifi,Home Wifi,0.745597431699
for the past week the service has been very slow and its taking unusually long time to download even the smallest of files,ID1224935923,Speed Issue,Speed Issue,0.547599694228
my internet stopped working,ID1235998455,Internet Not Working,Internet Not Working,0.825262842055
we just had a new router installed  how do i change the password,ID1231859761,Account Info,Modem Setup,0.464032247038
technician did not give me password to log into my wifi,ID1232391160,Home Wifi,Login Issue,0.822589503655
i forgot my id and password how can i register again,ID1226205956,Login Issue,Login Issue,0.534207510276
how do i change settings in secondary email account,ID1231955186,Email Issue,Email Issue,0.585616992983
i want to block a specific phone number on my phone,ID1224108018,Block Calls,Phone Not Working,0.587708180113
slow speed,ID1228581151,Speed Issue,Speed Issue,0.934317355151
i had problems accessing certain channels and called to resolve  resulting in a tech being scheduled for repair today however  the problems with the cable seemed to have correct itself last night  therefore the scheduled tech today will not be necessary  thank you,ID1219738863,Channel Issue,Appointment,0.47162799344
i cannot find the password for my router,ID1226690215,Modem Setup,Login Issue,0.431439642843
im getting between 8 and 12 mbps wch really sucks for someone who pays for 50 mbps  more than once ts has happened and im getting tired of it please help me to resolved ts matter  if notng can be done let me know for i will seek an internet an internet service provider that will thanks chris,ID1229612897,Speed Issue,Speed Issue,0.488073618254
my remote to turn on the cable box is not working batteries are good and the remote turns on the tv but not the cable box,ID1232054270,Remote,Remote,0.451978508235
i do not have picture on my tv screen,ID1233554265,Signal Issue,Signal Issue,0.502198714346
why am i being charged a home wifi fee,ID1220083146,Bill Explaination,Home Wifi,0.49275588682
why cant i get basic channels online when im not at home,ID1235194911,Channel Issue,Channel Issue,0.584728827203
unable to activate my modem,ID1230719354,Modem Setup,Modem Setup,0.848969281168
i have been having issue for the last two weeks with the channels being black or the picture not showing,ID1229852052,Channel Issue,Channel Issue,0.500376160472
wifi not connecting,ID1226235019,Home Wifi,Home Wifi,0.736282055976
no upload speed,ID1235122965,Speed Issue,Speed Issue,0.83264832508
i just need to know if my home isp has a  permanent static ip address or a dynamically assigned dhcp ip address,ID1234555375,Modem Setup,Modem Setup,0.5493655423
we are experiencing dramatically lower internet speeds than were promised when we signed our agreement download speeds were just tested at 3755mbps can you please address please see the link httpwwwspeedtestnetresult3910586189png,ID1227712372,Speed Issue,Speed Issue,0.591271604753
very very slow,ID1237009791,Speed Issue,Speed Issue,0.549203407519
service unacceptably slow,ID1229271301,Speed Issue,Speed Issue,0.666275983646
how do i return my modem,ID1228857761,Return Box,Modem Setup,0.509468147822
how to setting my home wifi ,ID1235419193,Home Wifi,Home Wifi,0.775780421875
still couldnt login with my twc id after reset,ID1232286196,Login Issue,Login Issue,0.495558913841
password reset,ID1221126024,Login Issue,Login Issue,0.596897830966
internet connection problems,ID1227034416,Internet Not Working,Internet Not Working,0.697063170484
how can i check speed,ID1225253843,Speed Issue,Speed Issue,0.644956801989
trying to sign in im locked out,ID1228444930,Login Issue,Login Issue,0.467819410958
wifi speed suddenly very slow,ID1229221519,Speed Issue,Speed Issue,0.885913231861
if i get a package that doesnt have the free home wifi but i have my own router can i still get wifi,ID1231400674,Details Of Existing Plan,Home Wifi,0.523920249889
low speed,ID1220031164,Speed Issue,Speed Issue,0.752330187953
i want another box,ID1224221944,Cable Box Not Working,Cable Box Not Working,0.47657547092
i cant seem to log in,ID1226163970,Login Issue,Login Issue,0.790955618931
i was told yesterday that hbo would be added to our package is that an immediate update or does it take a wle for it to actually be added  i didnt see the channel in our channel guide ts morning,ID1231800002,Channel Issue,Channel Issue,0.558899640051
want an appt for an agent to come out to my home,ID1236962839,Appointment,Appointment,0.489223164168
my phone has been turned off,ID1229672669,Phone Not Working,Phone Not Working,0.504027546396
i need to activate my modem,ID1235241925,Modem Setup,Modem Setup,0.877271520365
what is my home wifi password,ID1229298197,Account Info,Home Wifi,0.436283583173
why is my signal strength so low and how can it be corrected,ID1233475883,Speed Issue,Signal Issue,0.524996960401
about new service,ID1229014557,Service Issue,Service Issue,0.444729471275
is there presently a phone outage in my area,ID1235120501,Phone Not Working,Service Availablity,0.473339296483
cable box not connecting to tv or re-bootingtrouble shooting,ID1232133397,Signal Issue,Cable Box Not Working,0.427689877468
internet isnt working,ID1228481940,Internet Not Working,Internet Not Working,0.75760413196
internet speed,ID1235353381,Speed Issue,Speed Issue,0.910923027635
having trouble setting up new modem,ID1223605186,Modem Setup,Modem Setup,0.79051631511
my cable and internet are out why,ID1231280418,Internet Not Working,Internet Not Working,0.646551820018
new cable modem,ID1226071333,Modem Setup,Modem Setup,0.557794015153
i just created an account on line and it says i am disabled,ID1229913052,Account Disabled,Account Disabled,0.446469145188
slow download speeds for certain sites,ID1221861623,Speed Issue,Speed Issue,0.619221906814
why is my phone service is not working,ID1231977253,Service Issue,Phone Not Working,0.620905971655
why dont we get fox sports 1 it is listed as being in the standard package on channel 37 in beeville texas 78102  all i get is a black picture and no sound,ID1223655646,Dvr Issue,Channel Issue,0.521665212756
"when i try to login to httpsmyservicestimewarnercablecom using my id i get a ""username you entered doesnt match our records message",ID1219748658,Login Issue,Login Issue,0.615769066448
i need my wifi password,ID1232657723,Home Wifi,Wifi Password,0.456188467798
im trying to set up a new email address,ID1223705423,Email Issue,Email Issue,0.42144317238
channel is not working,ID1235208350,Channel Issue,Channel Issue,0.638791946088
i currently have download speed of 100 but supposed to be 300,ID1231973769,Speed Issue,Speed Issue,0.756834678547
we had internet installed last week most devices are connected to the wifi fine but our tv internet is incredibly slow signal strength shows 2 bars what can i do,ID1227009788,Speed Issue,Speed Issue,0.486257180442
my online account is disabled,ID1223563887,Account Setup,Account Disabled,0.682907956892
can i watch my dvr recordings on my iphone,ID1228091702,Dvr Issue,Dvr Issue,0.698636731824
channels arent working,ID1221773459,Channel Issue,Channel Issue,0.576715583692
how do i turn off voicemail,ID1228091693,Voice Mail,Voice Mail,0.431470075619
i am trying to stream video on my new service just set up today and it is stopping quite a bit so i went to speedtest time warner cable and it shows i have the lowest speed however i was sold on the next speed up wch is 6mpbs but i am only getting 2mbps i dont tnk i have the correct speed,ID1234653045,Speed Issue,Speed Issue,0.859267107874
speed has gone down considerably,ID1233360004,Speed Issue,Speed Issue,0.768980399428
zip is 78248 very slow has lost connectivity more than one tonight  using macbook pro-yosemite,ID1230616825,Speed Issue,Speed Issue,0.456726574056
i cant access my remote dvr,ID1236294875,Dvr Issue,Dvr Issue,0.473259168914
i do not get all the channels i pay for,ID1224818736,Channel Issue,Channel Issue,0.718214823598
"numerous ""mail delivery failures"" in my email account that i didnt send appears someone has my email info",ID1230799805,Email Issue,Email Issue,0.674289465698
i hooked up the new router i got from twc i had to call twice already now my roku box isnt showing my ip address it shows 0000,ID1219725837,Modem Setup,Modem Setup,0.607939495344
one of my boxes isnt working,ID1224213811,Cable Box Not Working,Cable Box Not Working,0.503760210596
hbo not working,ID1237016737,Channel Issue,Channel Issue,0.42288844541
phone not working for calls to mexico,ID1224117298,Phone Not Working,Phone Not Working,0.756487264078
cannot access admin page on cable modem,ID1230685462,Login Issue,Modem Setup,0.560306582692
speed increase not working,ID1223455308,Speed Issue,Speed Issue,0.80250509455
tv on computer need password,ID1220038026,Login Issue,Login Issue,0.510097252335
my cable box is malfunctioning,ID1228544228,Cable Box Not Working,Cable Box Not Working,0.711351081861
cable box not powering up,ID1224074979,Cable Box Not Working,Cable Box Not Working,0.659610792638
new modem is not on the approved listthe modem you are attempting to activate is not an approved modem click here for a list of approved modems for assistance chat with a live agent or contact time warner cable at 1-855-490-6693,ID1227666108,Modem Setup,Modem Setup,0.576990047289
i tnk someone is messing with my internet,ID1219181090,Internet Not Working,Internet Not Working,0.607252975586
adding channels,ID1231388976,Change Package,Channel Issue,0.500935244291
why is my download speed so slow today,ID1222619370,Speed Issue,Speed Issue,0.910656268095
why has my account been disabled,ID1228950917,Account Info,Account Disabled,0.685351905596
too slow,ID1236059078,Speed Issue,Speed Issue,0.680290685338
for some reason is not accepting my user name and password,ID1229230076,Login Issue,Login Issue,0.733205929959
how do i set up my new routermotem for wifi,ID1231712803,Modem Setup,Home Wifi,0.504776844118
why have the channels changed and where are the encore channels,ID1236351693,Channel Issue,Channel Issue,0.676646008247
on demand is not working  i keep getting,ID1236360253,Odm,Odc-Not Working,0.426409096276
wifi password,ID1227928322,Wifi Password,Wifi Password,0.465003812089
why cant i watch my cable channels online,ID1235290694,Streaming,Channel Issue,0.748636217022
i need to reset my email password but my username doesnt match your records,ID1221192732,Login Issue,Login Issue,0.745540925225
i want to know speed of my internet,ID1233511827,Plan Explaination,Speed Issue,0.795042430164
picked up modem today not connecting so get an error message on httpsregistrationrrcom,ID1229247111,Modem Issue,Modem Setup,0.429352851703
im trying to set up my new modem and the usernamepassword i have didnt work and then it was disabled,ID1237031551,Modem Setup,Modem Setup,0.692383866912
change password,ID1223669532,Account Setup,Login Issue,0.544199278535
i cant sign into my account it say it has been disabled,ID1221489205,Login Issue,Login Issue,0.437026026059
my internet isnt working it was supposed to be activated today,ID1222818442,Internet Not Working,Internet Not Working,0.575283000698
box wont tune to channels,ID1226266326,Cable Box Not Working,Channel Issue,0.442454594099
not all of my channels are working such as fox nbc espn is ts my issue or are others reporting ts,ID1229266977,Channel Issue,Channel Issue,0.638337986445
"i cannot receive incoming email on my iphone moblie but am able to send email on it can you help me please when i get on the email app a message pops up and says cannot connect to the server for ""twc"" and then says mail can try to repair these settings either cancel or repair wch does not work",ID1233753989,Email Issue,Email Issue,0.737936642769
my internet speed is not what im paying for 3069 is what i just checked again i should be getting a lot gher for what im paying,ID1219803333,Speed Issue,Speed Issue,0.790312507047
wifi is not working it is not broadcasting,ID1237055417,Home Wifi,Home Wifi,0.573589793613
why is my internet so slow,ID1236430137,Speed Issue,Speed Issue,0.93189352128
can i change my home phone number to my old cell phone number,ID1226184851,Update,Phone Not Working,0.501199238891
internet is not availale,ID1232252039,Internet Not Working,Internet Not Working,0.713785103199
my user id is jbriones316  why is my account disabled,ID1228506115,Account Disabled,Account Disabled,0.449777247565
cant log onto my arris dg1670a  19216801,ID1230906486,Login Issue,Login Issue,0.568459622804
i cant log in online,ID1229420179,Login Issue,Login Issue,0.723344393576
how to set up our email and remote questions,ID1224178793,Email Issue,Remote,0.679264688104
my cable service is slow stutters picture and audio and primteime od is not working,ID1226171209,Speed Issue,Signal Issue,0.440044162767
i have a twc business class account i also have a username and temp login however i am unable to access videos on your website,ID1228750752,Login Issue,Login Issue,0.548737062924
can not sign in,ID1224120146,Login Issue,Login Issue,0.58937962888
cannot log in i can not answer test quesions help,ID1235178641,Login Issue,Login Issue,0.610389920344
internet is very slow,ID1224220401,Speed Issue,Speed Issue,0.921636314654
we exchanged modems and i dont know the password for new modem  is it on the modem,ID1232593332,Modem Setup,Modem Setup,0.870046592425
i have a twc account at home but am away from home now and  want to use my twc account to access hbogo  but every time i try to log in i am told there is a system error  help,ID1228508201,Login Issue,Login Issue,0.440496371042
is there a link to optimize my wifi speed the interenet has been unuslaly slow,ID1224261228,Speed Issue,Speed Issue,0.896571888093
my wireless router wont work with my new modem,ID1235463435,Home Wifi,Modem Setup,0.633011477719
i forgot my password to my my account,ID1220618761,Login Issue,Login Issue,0.703586234191
i had ordered a docsis 3 modem after receiving a docsis 2 modem and i was wondering if i can get the tracking information on it,ID1220525222,Purchase Modem,Modem Setup,0.449390666445
twid password  my account passwrod reset  shows disabled,ID1220605616,Login Issue,Login Issue,0.506661811844
internet speed is slow,ID1231994893,Speed Issue,Speed Issue,0.980908993761
wifi not carrying through house,ID1236336765,Home Wifi,Home Wifi,0.639694477967
we just got a  new dvr and cc is not working on itit worked beforeplease advise,ID1230016921,Dvr Issue,Dvr Issue,0.684689419991
why is my digital box not restting,ID1223770651,Cable Box Not Working,Cable Box Not Working,0.632396686522
modem activation,ID1232244013,Modem Setup,Modem Setup,0.687623477024
 im trying to download the free mcafee antivirus but i forgot my twc assigned email address  would you help me figure it out,ID1220032920,Email Issue,Anti Virus,0.441865906531
internet is out,ID1222491119,Internet Not Working,Internet Not Working,0.792813943596
does twc have the cuttlery channel and the western channel,ID1236448448,Channel List,Channel Issue,0.556177952432
i am not able to enter my acount the system says my user name is nonexisting when i try to creat new one system tells me i already have account with time warner with that username what i am to do how can i apply for job,ID1228518662,Login Issue,Login Issue,0.461392674652
no on demand,ID1236244721,Odm,Odc-Not Working,0.422033549327
forgot user name and password,ID1235146447,Login Issue,Login Issue,0.639650055643
not recognizing my email  setting up new computer,ID1229658628,Email Issue,Email Issue,0.616560002274
dta never quits searcng for channels,ID1228833690,Signal Issue,Channel Issue,0.485221940242
i have an email address but cannot access it and cannot reset the password can you help,ID1226143712,Update,Login Issue,0.444844456078
no dial tone,ID1233488882,Phone Not Working,Dail Tone Issue,0.506574593714
the dvr in my bedroom does not list the programs ive recorded on my living room dvr wch is a multi-room dvr,ID1235642480,Dvr Issue,Dvr Issue,0.777429183514
 there i recently received a postcard in the mail saying that my internet service was being upgraded from 50mbps to 100mbps for free however multiple speed tests reflect that im not even getting 50 ive called multiple times to no avail,ID1222042657,Speed Issue,Speed Issue,0.601060575556
i am not getting email,ID1232665243,Email Issue,Email Issue,0.675635629684
i want to unblock my caller id info for all calls,ID1223345150,Caller Id,Caller Id,0.442047441785
i just bought a modem  i need to activate it,ID1224811397,Modem Setup,Modem Setup,0.771027927989
my wifi is not working properly,ID1221659411,Home Wifi,Home Wifi,0.776163493264
internet is regularly shut down and tv does not work,ID1235260426,Internet Not Working,Internet Not Working,0.611375188911
need query on internet outage,ID1224638173,Internet Not Working,Internet Not Working,0.711469964741
modem keeps resetting,ID1229776944,Modem Setup,Modem Setup,0.515582284473
i am not sure what the speed is on my internet  can you help me,ID1224834369,Speed Issue,Speed Issue,0.834323299587
all of my services are going however the phone does not work i have a family emergency at the moment and need the phone desperately,ID1230160773,Phone Not Working,Phone Not Working,0.480093295509
cannot get ch 131 any more  i get the channels around it after installing new tv,ID1236134957,Channel Issue,Channel Issue,0.43181465194
do i need to activate my new modem to get the phone working,ID1235250289,Phone Not Working,Modem Setup,0.791165026489
can you remotely reset my internet connection,ID1236930300,Internet Not Working,Internet Not Working,0.712722698439
my wifi doesnt work pls help,ID1230015341,Home Wifi,Home Wifi,0.595954180754
im just trying to find out if there is an outage in my area,ID1231997086,Service Availablity,Service Availablity,0.525540936144
my account has been disabled please fix it so i can log on,ID1219322105,Login Issue,Account Disabled,0.491234860215
cant remember name and password to get on when get to security question i have no idea what a favorite movie iscan you help me,ID1230733697,Login Issue,Login Issue,0.713587820393
cant log in to my account from my desktop,ID1222700877,Login Issue,Login Issue,0.82371455311
ready to connect my new modem   reference my last call chat id 4372665449,ID1223267528,Modem Setup,Modem Setup,0.531465117001
speed problem,ID1229283761,Speed Issue,Speed Issue,0.757737134214
why am i being charged 599 for modem i have my own modem,ID1235344324,Bill Related,Modem Setup,0.633667751606
what is my voicemail pin,ID1231345579,Voice Mail,Voice Mail,0.525377838068
wireless printer finds router but not password here in licoln ne,ID1223379434,Home Wifi,Login Issue,0.487532853695
very slow speed,ID1233548126,Speed Issue,Speed Issue,0.888844836442
i need to know my wifi key,ID1236380805,Wifi Password,Home Wifi,0.558743987512
very slow internet  horrible ping,ID1231771344,Speed Issue,Speed Issue,0.824043893088
locked out of my account online,ID1228121576,Account Disabled,Account Disabled,0.686024268154
i would like to use my internet on another device and need wifi,ID1223669542,Home Wifi,Home Wifi,0.481108162651
how can i retrieve my password and username,ID1233492884,Login Issue,Login Issue,0.750466990898
my cable is out  is there an outage in the 75230 area,ID1233553712,Signal Issue,Service Availablity,0.438310734153
just spoke to two other technical support persons and my wifi had a decent speed then we rebooted the modem to try tomake the signal even better but now it has dropped to 4878 and my upload speed is 574 i was getting 86,ID1231425743,Speed Issue,Speed Issue,0.748924200781
why cant i create an account,ID1229043366,Account Info,Account Info,0.55108754054
 my wifi is extremely slow- i dont use any other router other than twc model arris only when connected through cable is the speed better,ID1221469478,Speed Issue,Speed Issue,0.809184670105
cable box is on but there is no signal to the tv,ID1230680866,Signal Issue,Signal Issue,0.660204346935
log in to ny1,ID1232150028,Login Issue,Login Issue,0.680857409613
speed issues,ID1224244279,Speed Issue,Speed Issue,0.762017314279
can not send emails,ID1228900355,Email Issue,Email Issue,0.547994891974
i am paying for your fastest speed i just tested and i am not getting anytng like i am paying for the internew is very slow  what is the deal and how do i fix,ID1223156107,Speed Issue,Speed Issue,0.830559116417
our upload speed is seriously broken can i speak to someone that can help me please,ID1233652351,Speed Issue,Speed Issue,0.497209674462
my tv is showing no signal all of a sudden,ID1223699110,Signal Issue,Signal Issue,0.674256101589
why doesnt my login information work,ID1224897123,Login Issue,Login Issue,0.574397028666
someone was supposed to come to my house to de a cable and has yet come outcan you please schedule for someone to come out to hude cable,ID1224700186,Cable Issue,Appointment,0.455182110736
speed,ID1235355202,Speed Issue,Speed Issue,0.846503970549
wifi not working,ID1224299477,Home Wifi,Home Wifi,0.753260093688
how can i revert my voicemail greeting to a generic greeting,ID1229982306,Voice Mail,Voice Mail,0.46441413557
is there a reason i cannot watch channels like 54 or hallmark 59 those number 50+ channels,ID1232018543,Channel Issue,Channel Issue,0.572248201024
my cable is not working,ID1236997969,Signal Issue,Cable Issue,0.504541845251
got smart tv do i need password to set up internet,ID1233450239,Internet Not Working,Login Issue,0.611220229305
do you all have any outages in waco today,ID1222008191,Internet Not Working,Speed Issue,0.524752743722
quick question i have the extreme internet but im not getting 50 mbps i only get 30,ID1227615757,Speed Issue,Speed Issue,0.611517452779
account disabled,ID1222364577,Account Disabled,Account Disabled,0.635838784273
slow speed internet,ID1224329255,Speed Issue,Speed Issue,0.972837179286
husbands email address has been suspended password no longer working it is s work email address and needs to get back up asap  can you help with ts,ID1224463287,Login Issue,Email Issue,0.623470860761
